artists,date,TM_id,event_title,presale_date_end,presale_date_start,promoter,TM_sale_date_start,span multiple days,venue,TM_venue _lat,venue_city,TM_venue_long,venue_state,TM_max,TM_min,genre,subGenre,event_type,SG_artists_score,SG_average_price,SG_listing_count,SG_max_price,SG_min_price,SG_venue_score,SH_max_price,SH_min_price,SH_total_postings,SH_total_tickets,spotify_followers,spotify_popularity,spotify_avg_followers,spotify_avg_popularity,spotify_null_count,days_until_show,day_of_week,presale_length,days_on_sale,artist_count,avg_resale_min,avg_resale_max,min_source,max_source,min_markup%,max_markup%,avg_ticket_listings
['Harlem Gospel Choir'],2018-02-18 18:30:00,k7vGFfiNGX0VH,Harlem Gospel Choir - Sunday Gospel Brunch - All You Can Eat Buffet,2018-02-18 08:00:00,2017-06-16 16:00:00,PROMOTED BY VENUE,2017-06-16 16:00:00,False,B.B. King Blues Club & Grill,40.7567868,New York,-73.9884479,NY,64.0,44.0,Religious,Gospel,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",['0.4600000083'],102.0,26.0,529.0,89.0,0.44629099969999997,120.0,100.88,6.0,33.0,[1317.0],[22.0],1317.0,22.0,0,73,6,246.66666666666666,173.0,1.0,94.94,324.5,Both,Both,115.77272727272727,407.03125,29.5
['The Harlem Blues Project'],2018-02-21 00:30:00,k7vGFfmSAK5jI,B.B. King Blues Club All*Stars feat. The Harlem Blues Project,,,PROMOTED BY VENUE,2017-07-19 16:00:00,False,B.B. King Blues Club & Grill,40.7567868,New York,-73.9884479,NY,15.0,15.0,Blues,Blues,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}","['0.4199999869', '0.4199999869']",60.0,7.0,85.0,38.0,0.44629099969999997,,,,,[nan],[nan],46389.0,48.0,1,76,2,0.0,140.0,1.0,38.0,85.0,SG,SG,153.33333333333334,466.6666666666667,7.0
['The Harlem Blues Project'],2018-02-21 02:30:00,k7vGFfmSAf5jl,B.B. King Blues Club All*Stars feat. The Harlem Blues Project,,,PROMOTED BY VENUE,2017-07-19 16:00:00,False,B.B. King Blues Club & Grill,40.7567868,New York,-73.9884479,NY,15.0,15.0,Blues,Blues,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}","['0.4199999869', '0.4199999869']",129.9299926758,15.0,532.0,58.0,0.3752399981,,,,,[nan],[nan],46389.0,48.0,1,76,2,0.0,140.0,1.0,58.0,532.0,SG,SG,286.6666666666667,3446.666666666667,15.0
['A Decade of Soul'],2018-02-24 00:00:00,k7vGFfRnsQYyZ,A Decade of Soul - Classic Soul & Motown Broadway Dinner Show,,,PROMOTED BY VENUE,2017-08-01 16:00:00,False,B.B. King Blues Club & Grill,40.7567868,New York,-73.9884479,NY,20.0,20.0,R&B,Soul,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",['0.4499999881'],67.0,17.0,529.0,45.0,0.44629099969999997,,,,,[nan],[nan],230053.0,61.5,1,79,5,0.0,127.0,1.0,45.0,529.0,SG,SG,125.0,2545.0,17.0
['The Harlem Blues Project'],2018-02-28 00:30:00,k7vGFfmSAfDjc,B.B. King Blues Club All*Stars feat. The Harlem Blues Project,,,PROMOTED BY VENUE,2017-07-19 16:00:00,False,B.B. King Blues Club & Grill,40.7567868,New York,-73.9884479,NY,15.0,15.0,Blues,Blues,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}","['0.4199999869', '0.4199999869']",130.7299957275,15.0,532.0,57.0,0.3752399981,,,,,[nan],[nan],46389.0,48.0,1,83,2,0.0,140.0,1.0,57.0,532.0,SG,SG,280.0,3446.666666666667,15.0
['The Harlem Blues Project'],2018-02-28 02:30:00,k7vGFfmSA4Djw,B.B. King Blues Club All*Stars feat. The Harlem Blues Project,,,PROMOTED BY VENUE,2017-07-19 16:00:00,False,B.B. King Blues Club & Grill,40.7567868,New York,-73.9884479,NY,15.0,15.0,Blues,Blues,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}","['0.4199999869', '0.4199999869']",130.8000030518,15.0,532.0,58.0,0.3752399981,,,,,[nan],[nan],46389.0,48.0,1,83,2,0.0,140.0,1.0,58.0,532.0,SG,SG,286.6666666666667,3446.666666666667,15.0
['A Decade of Soul'],2018-03-03 00:00:00,k7vGFfVRI9UFF,A Decade of Soul - Classic Soul & Motown Broadway Dinner Show,,,PROMOTED BY VENUE,2017-10-18 16:00:00,False,B.B. King Blues Club & Grill,40.7567868,New York,-73.9884479,NY,20.0,20.0,R&B,Soul,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",['0.4300000072'],67.0,9.0,529.0,66.0,0.3752399981,,,,,[nan],[nan],230053.0,61.5,1,86,5,0.0,49.0,1.0,66.0,529.0,SG,SG,229.99999999999997,2545.0,9.0
['A Decade of Soul'],2018-03-03 02:00:00,k7vGFfVRI_pFQ,A Decade of Soul - Classic Soul & Motown Broadway Dinner Show,,,PROMOTED BY VENUE,2017-10-18 16:00:00,False,B.B. King Blues Club & Grill,40.7567868,New York,-73.9884479,NY,20.0,20.0,R&B,Soul,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",['0.4300000072'],173.0,9.0,532.0,64.0,0.3752399981,,,,,[nan],[nan],230053.0,61.5,1,86,5,0.0,49.0,1.0,64.0,532.0,SG,SG,220.00000000000003,2560.0,9.0
"['Ja Rule', 'Ashanti', 'Lloyd', 'Lil Mo']",2018-03-03 01:00:00,k7vGFfMf1aMNQ,Ja Rule/ Ashanti/ Lloyd/ Lil' Mo,2017-12-01 03:00:00,2017-11-29 15:00:00,PROMOTED BY VENUE,2017-12-01 15:00:00,False,New Jersey Performing Arts Center,40.739502,Newark,-74.16809,NJ,99.0,49.0,Hip-Hop/Rap,Urban,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}","['0.6000000238', '0.4600000083']",147.5,233.0,618.0,84.0,0.6176699996,648.96,87.7,74.0,274.0,"[440159.0, 723970.0, 575218.0, 42237.0]","[75.0, 75.0, 71.0, 61.0]",445396.0,70.5,0,86,5,1.5000000000000002,7.0,4.0,85.85,633.48,Both,Both,75.20408163265306,539.878787878788,253.5
['A Decade of Soul'],2018-03-04 01:00:00,k7vGFfVwxvx1p,A Decade of Soul - Classic Soul & Motown Broadway Dinner Show,,,PROMOTED BY VENUE,2017-10-18 16:00:00,False,B.B. King Blues Club & Grill,40.7567868,New York,-73.9884479,NY,20.0,20.0,R&B,Soul,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",['0.4499999881'],47.0,1.0,47.0,47.0,0.44629099969999997,,,,,[nan],[nan],230053.0,61.5,1,87,6,0.0,49.0,1.0,47.0,47.0,SG,SG,135.0,135.0,1.0
