Unnamed: 0,artists,date,TM_id,event_title,presale_date_end,presale_date_start,promoter,TM_sale_date_start,span multiple days,venue,TM_venue _lat,venue_city,TM_venue_long,venue_state,TM_max,TM_min,genre,subGenre,event_type,SG_artists_score,SG_average_price,SG_listing_count,SG_max_price,SG_min_price,SG_venue_score,SH_max_price,SH_min_price,SH_total_postings,SH_total_tickets,spotify_followers,spotify_popularity,spotify_avg_followers,spotify_avg_popularity,spotify_null_count,days_until_show,presale_length,days_on_sale
7243,['Youngr'],2018-02-12 01:00:00,vv1AeZAutGkdRiF9v,Youngr,,,LIVE NATION MUSIC,2017-11-17 15:00:00,False,The Foundry,39.96477,Philadelphia,-75.134457,PA,15.0,15.0,Pop,Pop,"{'id': 'KZFzBErXgnZfZ7vAd7', 'name': 'Musician'}",['0.4699999988'],,,,,0.48983800409999995,,,,,[22033.0],[57.0],22033.0,57.0,0,67,,19.0
7244,['Youngr'],2018-02-12 01:00:00,vv1AeZAutGkdRiF9v,Youngr,,,LIVE NATION MUSIC,2017-11-17 15:00:00,False,The Foundry,39.96477,Philadelphia,-75.134457,PA,15.0,15.0,Pop,Pop,"{'id': 'KZFzBErXgnZfZ7vAd7', 'name': 'Musician'}",['0.4699999988'],,,,,0.48983800409999995,,,,,[22033.0],[57.0],22033.0,57.0,0,67,,19.0
7245,['Crooked Colours'],2018-03-10 02:00:00,vv1AeZAu_GkdjLkKd,Crooked Colours,,,LIVE NATION MUSIC,2017-11-10 15:00:00,False,The Foundry,39.96477,Philadelphia,-75.134457,PA,13.0,13.0,Dance/Electronic,Dance/Electronic,"{'id': 'KZFzBErXgnZfZ7vA71', 'name': 'Band'}",['0.4799999893'],174.8800048828,8.0,529.0,26.0,0.48983800409999995,,,,,[20376.0],[58.0],20376.0,58.0,0,93,,26.0
7246,['Crooked Colours'],2018-03-10 02:00:00,vv1AeZAu_GkdjLkKd,Crooked Colours,,,LIVE NATION MUSIC,2017-11-10 15:00:00,False,The Foundry,39.96477,Philadelphia,-75.134457,PA,13.0,13.0,Dance/Electronic,Dance/Electronic,"{'id': 'KZFzBErXgnZfZ7vA71', 'name': 'Band'}",['0.4799999893'],174.8800048828,8.0,529.0,26.0,0.48983800409999995,,,,,[20376.0],[58.0],20376.0,58.0,0,93,,26.0
7247,['John Gorka'],2018-03-31 00:00:00,vv1AeZAu8GkdYDkNl,John Gorka,,,LIVE NATION MUSIC,2017-10-20 14:00:00,False,The Queen,39.741126,Wilmington,-75.550253,DE,24.0,24.0,Country,Country,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}",['0.3899999857'],,,,,0.0,,,,,[5198.0],[34.0],5198.0,34.0,0,114,,47.0
7248,"['Catherine Russell', 'John Pizzarelli']",2018-04-14 23:30:00,vv17FZfUGkDIx9SB,Boscovs Berks Jazz Fest Presents Catherine Russell & John Pizzarelli,2017-12-02 03:00:00,2017-11-25 15:00:00,PROMOTED BY VENUE,2017-12-02 15:00:00,False,Berks Jazz Fest,40.357994,Reading,-75.9438896,PA,49.0,49.0,Jazz,Jazz,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}","['0.4399999976', '0.4900000095', '0.5099999905', '0.4300000072', '0.0', '0.3700000048', '0.4499999881', '0.0', '0.349999994']",74.0,1.0,74.0,74.0,0.40203800799999995,,,,,"[4960.0, 9370.0]","[48.0, 41.0]",7165.0,44.5,0,128,6.0,4.0
7249,"['Ana Popovic', 'VANESSA COLLIER']",2018-04-14 18:00:00,vv17FZfUGkDNR6Qg,Boscovs Berks Jazz Fest Presents Ana Popovic plus Vanessa Collier,2017-12-02 03:00:00,2017-11-25 15:00:00,None,2017-12-03 03:00:00,False,Berks Jazz Fest,40.357994,Reading,-75.9438896,PA,39.0,39.0,Rock,Pop,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}","['0.4399999976', '0.4399999976', '0.3700000048', '0.0', '0.4099999964']",74.0,1.0,74.0,74.0,0.40203800799999995,,,,,"[18520.0, 299.0]","[45.0, 11.0]",9409.5,28.0,0,128,6.0,3.0
7251,['Royal Scam'],2018-04-07 23:30:00,vv17FZfUGkBuC3RY,Boscovs Berks Jazz Fest Presents The Royal Scam,2017-12-02 03:00:00,2017-11-25 15:00:00,None,2017-12-02 15:00:00,False,Berks Jazz Fest,40.357994,Reading,-75.9438896,PA,25.0,25.0,Undefined,Undefined,"{'id': 'KZFzBErXgnZfZ7vAAI', 'name': 'Tribute Band'}","['0.5', '0.4300000072', '0.0', '0.4399999976', '0.0']",48.0,2.0,51.0,45.0,0.40203800799999995,,,,,[nan],[nan],,,1,121,6.0,4.0
7253,['Unforgettable Fire'],2018-03-11 01:30:00,vv17FZfgGkXEISLn,Unforgettable Fire,,,PROMOTED BY VENUE,2017-10-31 17:55:00,False,Mount Airy Casino Resort,41.1134303,Mount Pocono,-75.3216554,PA,15.0,15.0,Undefined,Undefined,"{'id': 'KZFzBErXgnZfZ7vAAI', 'name': 'Tribute Band'}",['0.4300000072'],162.3300018311,9.0,532.0,29.0,0.4784989953,,,,,[nan],[nan],,,1,94,,36.0
7254,['Popa Chubby'],2018-04-11 23:30:00,vv1AeZAuYGkeWpb7H,Boscovs Berks Jazz Fest Presents Popa Chubby,2017-12-02 03:00:00,2017-11-25 15:00:00,None,2017-12-02 15:00:00,False,Berks Jazz Fest,40.357994,Reading,-75.9438896,PA,25.0,25.0,Blues,Blues,"{'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}","['0.3899999857', '0.400000006', '0.4900000095']",,,,,0.40203800799999995,,,,,[18284.0],[43.0],18284.0,43.0,0,125,6.0,4.0
